"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C4","1uF","","~","2","","",""
"C2,C13,C14","0.1uF","","~","3","","",""
"C3,C6,C15","10uF","","~","3","","",""
"C5,C7,C9,C10","100nF","","~","4","","",""
"C8","33nF","","~","1","","",""
"C11","100uF","","~","1","","",""
"C12","22uF","","~","1","","",""
"D1,D2","LED","","~","2","","",""
"D3,D4,D5","D_Schottky","","~","3","","",""
"J1","Conn_01x02","","~","1","","",""
"J2","USB4520-03-0-A","CONN12_USB4520-03-0-A_GCT","USB4520-03-0-A","1","","",""
"J3","Conn_01x04_Pin","","~","1","","",""
"J4","Conn_01x05_Pin","","~","1","","",""
"J5","Conn_01x02_Pin","","~","1","","",""
"L1","5.6uH","","~","1","","",""
"Q1,Q2,Q3,Q4","BSS138","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","4","","",""
"Q5","GSFC0201","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","1","","",""
"R1,R4,R5,R6,R7,R14,R15","5.1k","","~","7","","",""
"R2","5m","","~","1","","",""
"R3,R13","10k","","~","2","","",""
"R8,R11","100k","","~","2","","",""
"R9","100","","~","1","","",""
"R10","220","","~","1","","",""
"R12","30.9k","","~","1","","",""
"RV1","Potentiometer","","~","1","","",""
"S1,S2","GPTS203211B","digikey-footprints:PushButton_12x12mm_THT_GPTS203211B","http://switches-connectors-custom.cwind.com/Asset/GPTS203211BR2.pdf","2","","",""
"TH1","NTC-10k","","~","1","","",""
"U1","ESP32-S2-SOLO-N4","ESP32-S2-SOLO-N4:XCVR_ESP32-S2-SOLO-N4","","1","","",""
"U2","AP33772SDKZ-13","","AP33772DKZ-13","1","","",""
"U3","TPS62933","Package_TO_SOT_SMD:SOT-583-8","https://www.ti.com/lit/ds/symlink/tps62933.pdf","1","","",""
"U4","TPD4E05U06DQA","Package_SON:USON-10_2.5x1.0mm_P0.5mm","https://www.ti.com/lit/ds/symlink/tpd4e05u06.pdf","1","","",""
"U5","TB6612FNG_C_8_EL","digikey-footprints:LSSOP-24_W5.6mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=10660&prodName=TB6612FNG","1","","",""
